content,label
I'm on day 80-something of my Xbox LIVE acct being hacked. This is worse than PSN hack. Will I ever get it back? #Microsoft #Xbox #Fail,-1
Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 21,0
"New #HPVirtualSystem 4 #Microsoft enhances development, deployment & mgmnt of IT http://t.co/Q3cbxvKb",0
RT @JennyOrWuuut: I wishh #twitter would tell me who retweets my stuff.,0
Ever post something to the wrong circles?  #google+,0
"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.",1
"Build once, scale to many: #Microsoft allows creators to extend experiences to multiple touchpoints like xBox, Windows Mobile. #ULforthewin",0
Android 4.0 Ice Cream Sandwich announcement round-up #android #google http://t.co/ExcNswwx,0
"@apple stuck it to @amazon when it unveiled iCloud, showing that the placement of 'i' before the name of even a failed effort yields success",0
"@BenFolds p.s. I would have never used the word ""playa"" over ""player"" if #Twitter wasn't so restrictive...",0
"4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!",1
@Apple why no Macbook mirroring onto AppleTV via #Airplay?,0
"yeah, @apple is updated!! planking photos, #lmaoo http://t.co/IusXJJDq",0
"Samsung Galaxy Nexus launching in US, Europe and Asia this November http://t.co/SzchgKIf  #android #google",0
"With #Holodesk from #Microsoft research, you can manipulate 3-D, virtual images with your hands http://t.co/lTws9xvx",0
@apple please provide support for a Bangla keyboard in iOS. It would make the life of many Bengali iOS users easier! #iphone,0
@kursed #Google is terrible at presentations. Hated the terrible camera interference from the huge screen behind the speakers. #headache,-1
"RT @EverettColdwell: @SusanFelicity One really good thing with #twitter is that most people appear to be on the progressive, left, socia ...",1
Article discussing how the four great tech companies will compete in the marketplace: http://t.co/YFWF9iye #Apple #Google #Facebook #Amazon,0
#twitter is sooo trash ritenow with all dezz #highscoolmemories -__-,-1
One thing I want from #ios is searching in the add bar similar to what Firefox or droid phones do. But thnx for a talking Google @apple ...,0
#IReallyHateWhenPeople TyP3 L!k3 tH!S Or #Use #Hashtags #In #Every #Word #On #Twitter,0
@Simon_townsend: #Microsoft tests and proves #AppSense enterprise scalability! 78K users on one personalization DB - http://t.co/gyGE5SCa,0
"Gee, I can't imagine that the maps app graphic from this Samsung website will help their court cases vs. @Apple: http://t.co/PmanMoAh",0
Great hardware and great new version of Android. I want it now. API is available now at least. #Google #Android #ICS #Development,0
"dear @apple, why you gotta go change the way &lt;input type=""number""&gt; is handled out of the blue?",-1
#Google #Android Ice Cream Sandwich 4.0 (photos) http://t.co/iK3Iq8KR,0
"i need a hookup, stop teasing me #google http://t.co/07YR58wL i want the new #nexus",1
Shout-out to @Legally_Becky ! Cause she's a #coolcollegekid with a #twitter now ;D FOLLOW HER.,0
@apple in Austin:  domain location - umbrellas are nice but being staffed properly would be better.,0
62 Ways to Use #Twitter for Business: http://t.co/jYXK7OkC #tweets #socialmedia,0
Microsoft turns your body into a touchscreen http://t.co/YE0NZy82 #Microsoft,0
#Occupy #Twitter...Let&#39;s make Twitter a Social Media not a just a Bulletin Board. Engage! Interact! Socialize!,0
#Android #Google Video: Googles Nexus site updated with new device and ICS features http://t.co/rZBmyLTV #DhilipSiva,0
No face tagging in the new #Android gallery? #Google,0
"Learned a new word ""BLOB"" regarding to #Microsoft #SharePoint moving .docs from the database to a fileserver. #vmworld #VMworld2011",0
@apple @internode #icloud #ios5 #piracy omg no wonder ive used all my downloads!!,0
Ballmer On Not Buying #Yahoo: Sometimes Youre Lucky http://t.co/7ButjnVO &gt; most interesting part = nascent #Microsoft cloud leadership,0
#Google+  great for small businesses? I think so. The platform has some really beneficial features. Thoughts? http://t.co/FytcyEG2,1
Discover #Keywords & #Business Critical Information to be No 1 on #Google read aspenIbiz #blog post http://t.co/Rotiieo0,0
The first thing I do when I get home is either get on #facebook or #twitter. What is wrong with me?,-1
"Samsung, Google Unveil Latest Android OS, Phone - PCWorld  #google",0
#windowsphone #wp7 #Microsoft really @google ? http://t.co/vI0htJRr  #icecreamsandwichfail innovation by imitation sad sad,1
#SIGSource Dawn Evans interviewing #Microsoft's Tim McBride in SIG's Inside Source exec video series. In a new role in financial operations,0
#Microsoft's Steve Ballmer attacks #Android phones http://t.co/cuoW78du,0
enjoy  #Microsoft #Search Idea Could Let You Search Like Miley http://t.co/GWOkOCEg great,1
Microsoft Stores giving away free Windows Phone devices with $499 spend #microsoft #wp7 #free #msftstore http://t.co/QbYUm2Ce,0
#microsoft 1st ever global ad campaign:great full circle focus on integrated product connectivity and global relevance http://t.co/ZCevlB1a,0
#google #galaxynexus #icecream great,1
I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!,1
Hello! Welcome to #twitter RT @beabea210: @ACCU_MED ....hello Accu-Med!!!,0
gud mrng #twitter & all my frnds too. ;),0
RT @calvinnieh: Learn how to keep Microsoft #Exchange costs low today at 11am Pacific.  Win with #Microsoft and #NetApp Webcast @ http:/ ...,0
"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",-1
"@attentionspan i don't think the link you posted suggests that #google+ traffic is in downward spiral, just corrected for novelty",0
wait.... since when does putting honeycomb and gingerbread together make ice cream sandwich? #google ...,0
Starting to doubt #google android policy: no released android sources since 2.3.3! Curious for an opensource project to say the least...,-1
Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/7YvJMHnQ,1
iPhone 4S 8MP camera : Its a SONY. http://t.co/X1J8HNZu @sony @apple #apple #iphone4S #cameras,0
Great post on the upcoming Great Tech Wars of 2012! @amazon @apple @google @facebook http://t.co/OSeqhT7W via @cbillich,0
... and we were just told what a #microsoft minute is: it is 95 sconds + 1 second which is from 1 to 10 minutes. :),0
"This is the first time I've been unhappy with any @apple product... Disappointed, and the Internet seems as confused as I am right now.",-1
@Apple thank you for sucking so much. I cannot believe you would sell something online that isn't made,-1
"#ICS show-off froze my browser. Well, time for sleep I guess. #Android #Google #Samsung",0
"RT @UMDNews: The Future of #Information: Innovators from #Google, #Microsoft &#Twitter  Nov. 14-18  Info & registration at http://t.co/k ...",0
Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!,-1
#Microsoft Lync crash issue on #Mac OS X 10.7.2 [Fixed] - http://t.co/Gjiu2zz1,-1
RT @BatzayaB: #Google #Android Ice Cream Sandwich 4.0 (photos) http://t.co/XlJBYgIS,0
TODAY! Come along to #Microsoft Office & #ECDL Open Evening at #Pitman #Training #Cheltenham from 4pm to 7.30pm - http://t.co/fBoej2vd,0
Windows Phone Mango Update Released to 'Nearly Everyone' http://t.co/SX1NQJJ1 #microsoft #Technology,0
Some things I just can say on #Facebook. My #Entire family is on there That's why I'm slowly migrating to #Twitter,0
@SincerelytiGG_ I guess dat wat #twitter does lol,0
#Siri went down for a little while last night. Come on @apple! Get your shit together on this launch!,-1
"DPR Client: @EvolveTech partnering with #Microsoft on #Office 365 webinar Tuesday, Nov. 1, at 10 a.m. ET. Sign up! http://t.co/hnrzdFk5",0
Like @apple da fuck is this shit?  http://t.co/nb4DHlSg,-1
Haven't been on this Twitter shit in a while man. Here because looks like #AboutThatLife be haven hella fun on #Twitter,1
#MICROSOFT MULTIMEDIA STRAVINSKY : THE RITE OF SPRING (CD-ROM) [VERSION 1.0] Review: MICROSOFT MULTIMEDIA STRAVI... http://t.co/iX4FEcM2,0
RT @TravisDommert: Is leaving Steve's photo on the @apple home page what he would really want? In his honor...let's get back to innovati ...,0
Built in panorama in camera app #Android 4.0 #ICS #Google,0
"""#Microsoft details Windows 8 search improvements"" - via @SlashGear http://t.co/JCawWRzQ",1
Damn tired! .. Need some rest! Night #twitter,0
The new android #Nexus phone makes the #iPhone look like a cheap toy at dollar store! #tcot #android #google #RealEstate @Burkepatch,1
"This does not bode well. After charging all night, my @Apple iPhone 4S has 25% battery after only 3hr off charger with no calls & light use",-1
#twitter show my fuckin retweets bitch,-1
"Dear @Apple Contacts, you are terrible. I just cleaned duplicates for 3 hours and they magically reappeared. Fix it.",-1
POLL: http://t.co/Wu6EsvT5 Q:Should @Microsoft consider making its own hardware for #Windows like @Apple does? #Microsoft #Windows #Appl ...,0
Logitech Revue Companion Box with Google TV and Keyboard Controller by #Logitech #Google #TVBox via #amazon http://t.co/NkPjGP3W,0
Thanks again #microsoft for wasting more of my time. Apple&gt;windows http://t.co/GNy9G07B,-1
@apple http://t.co/awASwV5u,0
"Like traditional VC firms, Google Ventures makes its investment decisions solely ...  #google #ventures #spencer http://t.co/TBGqSFos",0
RT @FierceCIO: What happens to #Skype now that it is officially #Microsoft's? http://t.co/9FzSH0RY $MSFT,0
@msantram I want @apple to integrate Siri with @Quora.,0
"#ICS"" putting people at the heart""? You have GOT to be joking #Google. Now even copying slogans? Ah I get it, THOSE are not patented ;)",0
See how you can save 40% on dozens of #Microsoft #certification practice exams http://t.co/KojQrE1q via @EricLigman,0
@Blackberry does take better quality photos than @Apple iPhone though. I give them that! #photograhersEye,-1
RT @jeffbullas: What Is A #Facebook Like Worth For Your Business? http://t.co/BsT25W2u #SMM #SocialMedia #Twitter,0
#Google search to have default encryption http://t.co/rwgKPbGu,0
"#Google #Galaxy #Nexus, Miam !

http://t.co/8UpG3BOg",0
Cant build a website. Get a #Google website #Free ! http://t.co/7qUy4uOU,1
Anyone use #Google+?,0
"When #Microsoft ""violated U.S. antitrust laws""leaving #Netscape out of business & #Novell woundedit played ""dumb"". http://t.co/0WHHmAK4",-1
"@Apple please put the Tab button back in Pages for iPad. That hold my finger down, wait for the insert tab, then touch that for the tab. SMH",0
"Why @Apple so valuable, good analysis of trended profits, iOS vs. Microsoft: Comparing the bottom lines  http://t.co/k9qst4R4 via @asymco",0
"China Machado, I was googling earlier the women that resembles my momma) #iphoneartists #conceptualart #google http://t.co/TZvjaQlI",0
#Twitter to Reformat All URLs With T.co	http://t.co/jnmnbs9W,0
I'm nowhere near to be a scientst but thks to Steve Balmer 4 declarng me a scientst. Been using #Android frm last 3yrs. #Microsoft #Google,0
Nokia employees still worried that Elop is a Microsoft mole http://t.co/n4Cpu3vj #microsoft #windows,-1
"#ihateitwhen i think of a cool twit,by da tym i grab da fone & load #twitter i would have forgotten it!!! #dumbass",0
#Microsoft CEO Looks Ahead at Social and Mobile Plans http://t.co/wYmFplCs #marketing,0
RT @x_JustLucky_x: I don't know why I even bother checking FB anymore. I stare for two minutes and just log off lol #Twitter&gt;Fb,0
@ZackSiam you just might be the most influential man in the #twitter universe,0
Distrust and angst amongst #Nokia employees against #Selop #Microsoft fixation. http://t.co/jkOTcrMb,-1
Good night #Twitter and #TheLegionoftheFallen.  5:45am cimes awfully early!,0
"""Waiting for items to copy"" in Itunes after everything DID copy goes on, and on, and on.  Come on @Apple, what the hell?",-1
Is it just me or is #iOS5 faster for the iPad? @apple,1
@tvnewschick @apple Oh no! Why not?! I want it to be love-love-love! It's a lot of dough to spend otherwise...,0
Creating #Pareto charts using #Microsoft #Excel http://t.co/B6rYS5gX,0
iSteps @apple store bologna http://t.co/WjjBq7Ae,0
So so excited for all of the new Android features! Awesomeness :) #Android #ICS #Google #GalaxyNexus,1
#Android #Google Ice Cream Sandwich SDK now available http://t.co/K0tksZ1O #DhilipSiva,0
"3 new stuffs today, #Motorola #razr, #Samsung #Galaxy #Nexus, #Google #Android 4.0 #IceCreamSandwich #ICS ~",0
"Dear @motorola, I smell a lawsuit coming your way. cc: @apple #motoactv",0
has the new iOS5 changed the way the iPad charges? I've noticed I can charge from my laptop & iPhone charger now @toptweets @BBCClick @apple,0
People aren't the same as they wanna be perceived on #twitter...Please believe I'm that crazy bitch at work who slaps everyones ass in line,0
Just participated in another #Microsoft #SQLServer certification test with #TSQL typing instead of multiple choices. Really cool.,1
#Microsoft Explains and Refines the #Windows 8 Start Screen - http://t.co/IIlXENKI #ux #ixd,0
Why Google+ Has Uphill Battle Vs. Facebook: Sean Parker http://t.co/L8RSX1Yf #google,-1
@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.,-1
"De la nada mi #iPhone4 se fue a negro y empez a vibrar, hubo que resetearlo, que onda con #iOS5 WTFH @Apple",0
New Galaxy Nexus: OS Improvements -  Stacks & Scrolling introduced for widgets  for richer content #samsung #google #android bit.ly/nEJbyE,1
Had issues with #Siri reaching network today. Too many uses or my signal? @apple,-1
Reporting in #Microsoft Dynamics #AX2012 http://t.co/Q4oClJfS,0
If the iPhone 4 case fits the 4S why is @nlevenbrown @apple buying a new one?,0
RT @imason_inc: Search Governance in #SharePoint 2010 http://t.co/dPlbPQHO #microsoft,0
I am quickly falling in love with #Apple #iCloud. Finally a web-based solution to wave my old #Microsoft Outlook bye-bye,-1
One of the great #entrepreneurs has died. #Steve #Jobs has passed away. Our hearts go out to his family and everyone at @Apple,0
Read how SunGard #IntelliMatch achieved 53% ^ in performance (50 mill transactions in &lt;25 mins) #Intel #HP #Microsoft http://t.co/2i1k64wx,0
#microsoft update is so slow  :(( http://t.co/37IGhGic,-1
#Microsoft's First Global Multi-Product Holiday Campaign  http://t.co/6nUFdiBN,0
why tha fuck ppl post everything on #twitter u cant #im on here what is it for someone tell me please,0
Apple have just announced they sold 4 million phones this weekend. Incredible. That recession continues to bite @apple #recession,0
Tomorrow at #SAPTechEd Bangalore: #SAP & #Microsoft Building Apps for Both Worlds w #DuetEnterprise & #SAPGateway. http://t.co/te4NQmxN,0
@apple How much is the student discount on the MacBook Air in Canada? Your reps have said both $50 and $100. Which is it? Thanks! #laptop,0
Flowers & Apples shower the Santa Monica @Apple store in honor of #SteveJobs http://t.co/xGf60gMs,0
@asshsmith never #twitter is where i #speakmymind #hahahahahaha,0
dear @twitter / #twitter FIX YOUR SHIT. we cant see our retweets or mentions!,-1
So im chillin at work finally gettin a chance 2 be on #Twitter wat I miss so far?,0
none of my apps work after the new ios from @apple. what do i do?!?,-1
@Apple will be adding more carrier support to the iPhone 4S (just announced),1
coming back soon!!!! #twitter...,0
#twitter&facebookOff good night everyone   bye bye,0
This video brought a small tear to my eye http://t.co/3va2ninp. Watch to @SteveWoz opinion of #SteveJobs and @Apple,0
"@Apple iTunes is the worst program ever. For such a great phone, you make some awful software.",-1
"wasn't impressed with the #iPhone4S and now not impressed with the #GalaxyNexus, so let's see what #Nokia - #Microsoft have to offer...",0
"RT @Crazy_Golfer: ""If you lose followers on #Twitter don't worry even Jesus lost followers"" ~Unknown #quote via @smqueue",0
As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad,-1
"Me too RT @MohamedG: Exciting day, It's Ice cream Sandwich day ;) #Google #Android",1
It took @apple about 7 years just to figure out how to properly syncronize an iPhone.  WOW!  #ios5,-1
RT @spacecanard Today's the Day. ICS &lt;3 #android #google #samsung,1
I can't believe @mr_malie504 is not on #Twitter,0
Nexus S will get Ice-Cream Sandwich too - #Google - http://t.co/Igq9kdIL #android #samsung #ics,0
Couldnt help it & explored the #iphone4s @apple store & talked to #Siri... Should've tried to speak to her in French?! #nexttime,0
On Google+ then go here http://t.co/AwDFxDcI #GPlus #Googleplus #Google #teamfollowback #socialnetwork,0
Only people with names beginning with 'A' are getting mail this week (a la #Microsoft),-1
#Samsung & #Google unveil latest #Android #phone using #IceCreamSandwich http://t.co/eHoeBMDW,0
Calling all speed demons - Galaxy Nexus! http://t.co/7OyVuqdq  #android #google,0
#Microsoft store here I come to spend my hard earned cash. #vslive,1
@ZackSiezmagraff A few people are reporting #twitter retweets not working. Probably a technical problem.,-1
#Microsoft builds a functioning holodesk to interact with digital items http://t.co/BgrZnNvs #uncategorized,0
@Legally_Becky WOOOOOO Becky finally has a #twitter :D,0
#Android #Google Ice Cream Sandwich UI enhancements  a new spin on Android http://t.co/DAPpm4av #DhilipSiva,0
37 Ways to Use #Twitter for Business	http://t.co/MT9RdrCz,0
Suppose Microsoft Had Bought Siri? - Forbes http://t.co/ZRYNdhDi #apple #microsoft #siri #msft,0
Lol and what do those look like? RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management,0
@StaceHendrix Pls let us know if you need help w/ music marketing promo. We got #Twitter & #Youtube on lock. http://t.co/EWFffl35,0
"If #Microsoft earnings disappoint, blame consumer PC sales http://t.co/xEKwTlUg",0
#Android #Google Samsung Galaxy Nexus official hands-on [Video] http://t.co/6GX3R9MT #DhilipSiva,0
#Microsoft idea: Search the Internet like a celebrity (Todd Bishop/GeekWire) http://t.co/WhROX8KA,0
#Microsoft details #Windows8's new Start Screen Search http://t.co/Z6X5rE5q,0
Is at the @apple store waiting for a poorly iMac to be seen by a genius. Hopefully this will be painless. Not too bad in here.,0
Congratulations to Softline Pastel (@SageGroupZA) for winning #ISV of the Year at #Microsoft #partnersummit,0
@ParadoxicalMike yes... our is under lock and key... we are guarded by the mighty #Microsoft.... unlike #google with it's androids,0
#Google has been released #Android 4.0 platform http://t.co/mvdCD0v8,0
"#Infosys, #Microsoft team up to offer #cloud #services - http://t.co/9dEVf9Tz",0
"@gsmarena_com Talk, talk, talk... release the phone already, before they are completely obsolete #Nokia #Microsoft",0
Pinball FX2 offers free 'Paranormal' table starting next Wednesday http://t.co/vYXqUbJg #microsoft #pinball_fx_2,0
"yo, @apple, this update is a disaster",-1
RT @nedraallmond: @WSPSanDiego Kickoff tomorrow 10/20 at San Diego #Microsoft Store at 6:00pm @wspwest http://t.co/GP8tIRXN,0
"If #Microsoft earnings disappoint, blame consumer PC sales -  http://t.co/edXe0xBd via @cnet",0
@apple Give Siri back!,0
"Windows Phone Tango and Apollo rumors suggest new screen specs
#microsoft #wp7",0
"#Android #Google Ice Cream Sandwich Feature Closer Look - Roboto Type Face Is ""A Pleasure"" To Read http://t.co/DJsp2G5B #DhilipSiva",1
"Wow, very fast camera on Galaxy Nexus - faster than N9 i think :o #google",1
RT @Gaabisfc_: My #twitter age is 219 days 12 hours 26 minutes 28 seconds. Find out yours at http://t.co/eOCFm1kD #twittertime,0
@msleamichele @NayaRivera @DiannaAgron @MsAmberPRiley please could u somehow convince #hemo to join #twitter we need her awesomeness!! #glee,0
Is there a way that I can post voice notes on #twitter??,0
$4.5B #Nortel #IP Deal Still Under #DOJ Review: #Microsoft Exec (via @IPLaw360) http://t.co/DGIkwyoi #in,0
Google encrypts searches: http://t.co/q8inLdFy #Google,0
@jessecablek I want it too. Now just wondering who will be carrying it in November. Or direct purchase from #google / #samsung,1
Android 4.0 OS Ice Cream Sandwich and the Galaxy Nexus is out.seems that smartphones are named by hungry developers  #Google+,0
Tired of those spammy Twitter DMs? http://t.co/atMIoMoO #twitter #spam,0
RT @NeowinFeed: Google shows off new Ice Cream Sandwich features #google #android http://t.co/LlJpGM2a #neowin,0
Google officially announces Ice Cream Sandwich http://t.co/u702sosO  #android #google,0
Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh,-1
@deferom lol omg you should write #none #twitter #foreveralone. Don't forget the hashtags.,0
#Twitter #Off',0
Newest version of my (and @latc214's) phone (and a new version of Android) announced today. http://t.co/7acjrKIN #nexus #google #samsung,0
#GOOGLE me if u dnt understand me .,0
"@Apple, #iOS5 on iPhone2 causes Camera apperature dilation problems & freeze.",-1
"#Skype often crashing: #microsoft, what are you doing?",-1
#twitter/off,0
A nigga can't even go to sleep nd wake up good ppl be trip'n over #Twitter,0
Good to see #Google finally turning their focus on user experience. http://t.co/AYhOKgo8 #IceCreamSandwich #Android,1
I need to get off #twitter,-1
S/O to #google for getting me through high school and college....you are appreciated,1
Facebook and #Twitter Off,0
Anyone in #twitter land know if retweets are broken? Haven't seen any since Tuesday.,-1
RT @guardiantech: #Microsoft Kinect brings 'playful learning' to the Xbox 360 http://t.co/ys79quRD #Gaming,0
@apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!,-1
iPhone 4S vs Canon 5D MKII. @apple @canon @iphone http://t.co/PvKqad33,0
Watch short video on #Microsoft #Lync End User Adoption. A practical solution for users http://t.co/Qpk5DHEn #ITPro #UCOMS #OCS #WhyMSFT,0
@Apple would do better to inform customers properly about migrating to #iCloud - many complaints lead to #image damage http://t.co/QL7zmPpO,-1
We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16,1
MS Outlook Quick Access Toolbar - How to customize - http://t.co/VzkEdZaC #tips #microsoft,0
Loving my new #iPhone4S thanks @apple for #ios5,1
#Nokia 800 Renders Revealed http://t.co/K3txY6JZ #mobilenews #android #gingerbread #microsoft #nokia800 #nokian9,0
"Google Ice Cream Sandwich - sounds yummy!  What do you think? http://t.co/gMsgXcq8
#google #Android #ice cream sandwich",1
"The debate is, am I allowed to use my BB pen at #Microsoft?",0
Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f,-1
"#Google has made search more #secure, this change #encrypts your search queries and Google's result pages.  Read more: http://t.co/Rnnjwo6r",0
Recent study of #Google CTR reveals that top three positions #in #GoogleSearch receive 35% of traffic. @Econsultancy http://t.co/Z2bh6oH1,0
He Like Kissing The Little Pink Puss Lls #Twitter This After Dark,0
"@apple y u run out of 64gb iPhone!? Now I have to settle for 32gb. Saved 100$ though(:
#content",0
#Google announces dates for 2012 IO http://t.co/90xoKyQN,0
"@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :(",-1
Google To Begin Encrypting Searches & Outbound Clicks By Default With SSL Search http://t.co/C0Ykfjla #google #search,0
@apple loving the new IOS5 upgrade for the iPhone!,1
Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...,1
RT @SAPWorkSmarter: Tomorrow at #SAPTechEd Bangalore: #SAP & #Microsoft Building Apps for Both Worlds w #DuetEnterprise & #SAPGateway. h ...,0
Sorry #Apple #Google and #Samsung just made you look bad. #Android is king,1
#Follow my main #Twitter @AikoChristine need more #followers help me get to 500,0
#EEDAR report: half of HD console owners buying #DLC http://t.co/5tO4bS31 #business #microsoft #pc #playstation,0
How to Create your own Google Maps http://t.co/yyNzSP8J #google #maps,0
it runs the world #twitter,0
"#Microsoft s new great to be a family #adverts begin to air, including #Office2010 #Windows7 and #WP7.
http://t.co/L5J2UEEQ
@winrumors",0
@twalve @apple you know the issues they have with DST and alarms :p,-1
"#google #IceCreamSandwich #Samsung #Updates #Android | 
Galaxy Nexus with Ice Cream Sandwich: pictures http://t.co/DGGsNOh2",0
1st public test release for the Roslyn project. http://t.co/0j9ly9Y8 giving APIs to the C# compiler (and visual basic but ..;). #microsoft,0
"#Microsoft #Cloud Steve Ballmer At Web 2.0: Microsoft CEO Disses Android, iPhone: According to GeekWire, Ba... http://t.co/5L3vWLZJ #TCN",0
"Believe it or not #political process is changing across all countries. Thanks to new social media #Facebook , #twitter, #google+",0
#Google To Begin Encrypting Searches & Outbound Clicks By Default With SSL Search http://t.co/xW7vh75e,0
Ppl emphasize to make thyself look greater then they are! #twitter!,0
"#SteveBallmer just called me a ""Computer Scientist"" :) http://t.co/u1zmU9Ih #Microsoft #Android",0
RT @Pocketlint: Ballmer on Nokia: Really looking forward to bunch of new devices next week http://t.co/xjUwssZs #wp7 #nokia #Microsoft,0
"RT @amarsanghera The fact that #Microsoft are using a #QRCode alongside one of their colour code shows the format is failing, opinions",-1
#Google WebGL Bookcase: Google WebGL Bookcase. Google developed a WebGL app that shows a 3D model of a bookcase ... http://t.co/y8HC6kzB,0
Loving the new iPod update @apple,1
Apple + Microsoft...The Difference: How #Apple Eclipsed #Microsoft @PSFK: http://t.co/Rmi8oSMi #brand #brands #marketing #innovation,-1
Siri's Search Capabilities vs Google Voice Search on Android - Tested http://t.co/YKiFTufX #apple #google #voip,0
