content,label
"It's not too late to book into our first BEER Masterclass.
5 x beers, 5 x dishes, $55pp.
Our guest https://t.co/bZBb1bLneR",-1
@Brett_Jay it is beyond me why 50gb isnt free,-1
@po8gallery explores the dirty word hipster in conversation with https://t.co/xsg8wI60vg,0
"Destination..Jakarta, Indonesia  (@ T2 (International) Terminal - @melair in Tullamarine, VIC) https://t.co/9qH7pHXX0v",1
Lol apparently going to China next week for a day????,1
"Our ""Joie de Vivre"", accessorised and ready for the Races!

#ootd #outfitoftheday #fashion #Melbourne https://t.co/iu6SuqVqNp",0
"Thank you for orange hehe  (@ TD Building in Melbourne, VIC) https://t.co/lKRFiBvdCI http://t.co/JFh2n1CWVG",1
@Ducky_Tape ugh sorry  Im on MEL-AUH-AMS in a month,-1
@mittyoz my screen looks really different to yours. http://t.co/YJGPK26GDX,0
Lovely lunch mophocanteen #balaclava #carlislestreetbalaclava #lunch #healthy #vietnamesefood https://t.co/J49nIuqPNL,1
My milkshake brings all the boys to the yard #damnrightitsbetterthanyours https://t.co/rE7QHwSdSv,1
Here's that Hatsune Miku I mentioned a while ago that's been on my desk since the dawn of time. Note the dust. http://t.co/WWuPKuGu6J,1
 Only 2 more days to go in the mixing faze of this record  | #SingSingStudios #SSLdesk #72channel https://t.co/3sDlotHQbl,1
Getting to a happy place via the flamboyant failure #jongoulder https://t.co/7j35eQ5cgK,1
There is no way to eat a cruffin with any class whatsoever.,0
"""Only ""

Atravs da janela...

#aussielife #enjoythejourney #detailsoftheday @ Hawthorn Rd Caulfield https://t.co/gopBaVdumn",1
Turkish tea  #turkishtea #tea #instatea #MelbourneEats #MelbourneFoodie #drink #nicosiaturkish https://t.co/xO0hP7YWbR,1
If you're looking to improve your squat make sure you focus on your mobility first then add load https://t.co/taHSr0Hi4m,0
Welcome to fortywinksaustralia #Hawthorn ... :) @ Forty Winks Hawthorn https://t.co/8mfZyhtoXf,1
Love the interior here. #interior #elegant #lunchtime #armadale @ Gardiner And Field https://t.co/CfbYN2CEIW,1
"#Repost from @lukeascott

If you're looking to improve your squat make sure you focus on your https://t.co/9OKxTh0MXF",1
Melbourne make up your mind. Rain or shine? #fotd #bblogerAU #bblogger #YouTuber #vlogger @ DFO South https://t.co/suBPRFYd4s,0
Hahaha all the Android neckbeards and brokens giving the Move to iOS app 1 star reviews. https://t.co/HYHfBbHC6w,1
"Live streaming for #CrossVegas is now available via the @UCI_cycling feed: https://t.co/IzOk3vCsst 
Go @LJridehappy! http://t.co/rlUmGtcS01",1
@Ducky_Tape @The_McJones Ive had no issues in the past,-1
@tcn33 cellular/mobile?  Is that chosen in the carrier bundle?,0
@tonygray not seeing it,-1
"WHAT ARE YOU DOING SATURDAY NIGHT AFTER THE FETISH EXPO AFTER PARTY?!
#Pollyfilla #drag #dragqueen https://t.co/WuYujbTVkF",-1
"I just became the Mayor of Dumpling King on @Swarmapp!
https://t.co/l6SuE6lSKh http://t.co/LvhFRdQwUB",1
"@alaero good question.  No idea, Im guessing no",-1
@hannahhussin Hahaha biasa biasa je,1
@danielwhyte *shakes fist in general direction*,1
For That special man in your life  these crazy kool CHRISTIAN LOUBOUTIN Black Hitops brand new with https://t.co/ujbT1vmwry,1
"I have been dropping poster around now time to break, Mvenpick Ice Cream for long time by Groupon https://t.co/iSyH8jdxfb",-1
@chaiamericano I'm afraid not. I'm in Melbourne. Said cruffin was consumed at @proudmarycoffee,-1
"@BarronVonCrow I just read the article and it clearly says that ""other than Dirk, he is best German of all time"".",1
@phantomwhale how often do you want to do it?,0
Healthy looking burrito thank you @gardiner_field #burrito #armadale @ Gardiner And Field https://t.co/ShUnMbTN5t,1
@tcn33 I should grab an Optus sim and see what happens,1
Our stress free zone for today with my one and only evricoyourtutor https://t.co/YMUGel2y6l,1
"#MELBOURNE I'll be your hostess at the OZ KINK FEST FETISH EXPO, this Saturday 12-7 at the #fitzroy https://t.co/S65xygNEUo",1
"I feel stupid doing this and then realising it's not Friday. 
#weekend #huaraches #beer #pizza #feels https://t.co/enIT7PrQWk",-1
Mencari barang yg less than 2dollar  #australia #melbourne #southwharf https://t.co/oJXfCYR3uC,0
You need to go beyond hack days - You dont build a product in 48 hours @nxdnz #yowconnected,-1
Be sure to keep an eye out for our new van delivering you goodies across Melbourne! @cafedlville https://t.co/M8zkhG6YzZ,1
"Regularly test with real people this applies to everything, now just VR @nxdnz #yowconnected",0
@ahuijsen But mostly Chlo :-),1
"Beers beers beers! 
The perfect match for a souva.
Doing our usual thing at welcometothornbury. https://t.co/zP4qC8pLhE",1
remembering old friends #1000thingsIlikeaboutMelbourne #blacksabath https://t.co/QJ20cNistU,0
"@Guillefaingold en principi el realitzador els diu el que vol: comena tancat, ves obrint, paneja a lesquerra i torna foco al fons p.e.",0
"@Guillefaingold en un partit de futbol no hi han +18 cameres a lo loco fent la seva, van tots connectats amb el realitzador.",0
@thescottsb @duarte_vasco You were going to fail without changing anything either ;),-1
Love this picture from last week in #melbourne #selfie #nofilter #bestcity #cityscape @ Southgate https://t.co/VGGiDaOki5,1
More cranes! Now 3323 flying. Come to International Peace Day Monday 21/9 to hear story &amp; fold more https://t.co/o43uLcJop6,1
Sony says China sales of PlayStation 4 challenged by censorship http://t.co/vOQAO4yuNk,-1
This is what jet lag looks like: http://t.co/QM0WeqNflB,0
If theres something slowing down VR testing is the battery life of Samsung devices @nxdnz #yowconnected,-1
"""Digital equality, contribution of the archives"" by Dr Andrew Flinn at Monash Archives courses' 25th anniversary",0
"Settle in peeps, the experts are about to begin! @gaspartpark chairs https://t.co/0pNnvuJuuZ",1
12th law of VR: you can tell your mum that all those ours spent on Doom werent wasted @nxdnz #yowconnected,-1
The level of engagement and curiosity that VR brings makes it unstoppable @nxdnz #yowconnected,0
"Flinn poses question will pro-active release of govt information supersede freedom of information? No, puts control back into govt hands",0
@Q_GS that cat is staring at something quite intently,0
The pressure!!!!!!!!! #onetag#notready @ Zedphotography https://t.co/u7uKHJPmP6,-1
"@OBenPotter Well, Ben, maybe we should sign him up for the ageing Hawks :)",1
Morphe Set Bags have landed at Puckle Street Moonee Ponds  #makeupnet #morphebrushes https://t.co/NJEo6wUmWJ,1
Flinn states it's a political step to assert control of a community archives or heritage giving community a voice otherwise not heard,0
Woke up to dis  Matilda and Maria hanging out at my old job in Melbourne  @ Kaprica https://t.co/raZl0irn7y,1
Public funding of community archives continues alongside independent online community archives. Will latter displace the older model?,1
@benteese So theres that thing called the World Wide Web #yowconnected,-1
"#Hazmat: Perimeter Rd, Melbourne Airport. Initiated. 2 Appliances. Timeline: http://t.co/kQQ8Azelfw http://t.co/bseUjmXGSn",-1
"DIY online community archives disruptive. Professional recordkeepers taking a part collaborative, not controlling it is hoped",1
Pluralisation thru digitisation &amp; making accessible online surely a form of preservation. Shouldn't fetishise format.,1
"To Turkey  (@ Melbourne Airport (MEL) - @melair in Tullamarine, VIC) https://t.co/FLvyU7ve7n",1
@washingtonpost  And v look to the Light on the Hill. Who has done the dimmer?,1
Flinn seems to have a physical sense of community space despite discussing online pluralisation as important tactic of accessibility,1
@NativeWired So next door :),1
@muttler its nice,1
Departing @Australia sad but grateful hope to come back soon http://t.co/HCzNIL0HS6,-1
Bila jumpa setahun sekali camni lah jadi nyaaaaa. Clingy kak long love you always  @ DFO South Wharf https://t.co/gouHnKXoS3,1
Anne Gilliland speaking at Monash celebratory lecture of 25th anniversary of archives education.,0
TONIGHT! We are back at forgottenworldsarcade with Wes Craven's Deadly Friend a crazy mash up of https://t.co/XX4z2Wd4hq,1
Social &amp; ethical responsibility of recordkeepers to least empowered in community focus of Gilliland's lecture on context of globalisation,1
Here is an ultra sound of our upcoming release :) Cleaning up a vocal in #izotope RX3 @izotopeinc :) https://t.co/VHOVDM1NFp,1
Urgency of addressing recordkeeping to assert human rights in context of emergency of Syrian migration =How to get that key bit of paper,-1
@voiceofqaim God Bless,-1
"Gilliland: we have failed the rights of migrants, the displaced, undocumented in  tide of disruption. Not measuring up to our declaration",-1
We erected walls around our archives &amp; means of asserting rights equal to Hungary's razor wire. Gilliland bats away excuse of resources,-1
@WarWraith the agent knows that there are likely 10 others who are willing to put up with crap and who want the property. Its horrible.,-1
Write once run anywere makes everything look as crap across all devices @benteese #yowconnected,-1
Act of survival to take another's identity documents to cross a border. Why isn't managing identity documents part of peace keeping?,0
"Archival description standards failing, too difficult for uninitiated, not granular enough to serve purpose",-1
@simonwhitty aye yai yai Thanks.,1
@benteese intro to React has been very good. Thanks! #yowconnected,1
"AERI community argues for global integration of recordkeeping standards ,&amp; systems to enable accessibility to respond to grand challenges",1
"Where are you @mcilvena ?

Your kids don't need to see you on your Birthday!  @vline_ballarat wants to keep you on their trains instead",-1
"@WarWraith yup, thats true. But a good agent is as rare as a good tenant. A lot of them settle for whoever they can get.",-1
"Coffee before we shoppee.  you can probs unfollow me after that... (@ Jasper Coffee in Maribyrnong, VIC) https://t.co/97do8uaQU0",1
"Another missed service level @vline_ballarat? Should be at Bacchus Marsh, but currently just outside Rockbank.",-1
freezing,-1
Needs of displaced &amp; dispossessed need priority if archivists are to live up the universal declaration of human rights supported by archives,0
@bazscott @LizaK @bigmediumjosh I cried when I saw it,-1
what an absolute mystery.,-1
"Moreland Rd, Brunswick - Traffic Alert, Boom gates stuck down at Moreland Station due to a fault. Seek http://t.co/wLytbFKmPr #victraffic",-1
"Noodles and more noodles (@ Bun Bo Hue in Richmond, VIC) https://t.co/h2eeuHggB3",1
I think the least  @vline_ballarat can do is give @mcilvena a shoutout for his birthday. they are making him late for his b'day dinner ,1
Thanks legends billybrownless jamesbrayshaw #rushhour @ Triple M https://t.co/CV9ScoidBt,1
@jeanetienne thanks! From your @Pocket to mine ,1
Soooo craving this seared salmon #sushi for dinner tonight.  #takemeback #tbt @ Shira Nui https://t.co/NqwAmQxo44,0
SAS fitness starts in 15 minutes @ The Unit Burwood https://t.co/8upxrT7tA3,0
Heath Crowe heathcrowe working in the studio today. Heath is guesting with us until Saturday! https://t.co/8wTzyjalHn,1
"@The_McJones Yeah I saw the note at the top, but Im get $85 :/ WHAT DO I BELIEVE http://t.co/eu2HrRU2SO",1
"Red Velvet pancake and Black Sesame ice cream
who would have thought..  https://t.co/zSdZnIyoKZ",1
Never been able to chin ups... ever! Just did almost 20 (with a band; but still!!!) #feelinggood... https://t.co/zqCMyEmnn6,1
"@The_McJones I reckon theyre fiddling with pricing, its different in the browser",0
"@The_McJones either way, games are too expensive",-1
@Kernpuff @FOXTEL_Help Hahahaha made my day again! Completely out of touch and not competitive. If they didnt do sport then  Turned off!,1
@The_McJones I wish they charged in local currency,0
"@Uber_Melbourne Guys, trying to sign up as a driver but having an existing account as a rider seems to be making that problematic.",0
~Excursion Today~ #nofilter #city #melbourne #cityofmelbourne #fun #almost #lost #some #kids #doe https://t.co/0pK8Pthp9O,1
@qantas you know I love you - having a terrible experience on the phone with your Frequent Flyer call centre,-1
Mini gin &amp; tonic tarts @ Burch &amp; Purchese Sweet Studio https://t.co/lkBWBK9u7X,1
Meat medleys always get us going #bbq #meatsquare #chickenribs #candiedbacon #baconsour #cocktails https://t.co/1ynz1ihBpG,1
@RachClinton @LinkedIn adding predictive analytics and text mining to Net Promoter is an excellent bridge #DataScience for companies,1
How much did the Cider tour cost? @Powerbenz500 @OneMan_OneCider @SheppysCider @Realciderco @HfdsESL @bananacharlie @brewtube_uk,0
HELP ME RONDA! My ACE photos of the most inspirational fighter in the world @rondarousey of the @ufc https://t.co/2TiJQ54xg7,0
@Qantas have just DMd you about a little issue - hope you can help! ,-1
"Nepean Hwy, Brighton East - Traffic Alert, Left lane closed southbound at North Rd due to a collision. http://t.co/7NrcfBTn1o #victraffic",-1
@Aaron_T yeah I like it. Subtle change but some cool additions. I upgraded first thing this morning,1
@Uber_Melbourne It appears I have to create a 2nd email address and create a separate account as a driver??,0
@Aaron_T I take it you like it as well. You've had it for a while though?,0
"Early days, but Low Battery Mode doesn't seem to make any difference in iPhone io9 
#iphone #io9 #lowbatterymode #lowpowermode",-1
@Aaron_T I like the new font,1
Onion rings that big makes the burger mushroom worth the trip. #foodgasm https://t.co/PCLbznmh0s,1
Genius in packaging...a bit too easy to drink on the flavour for me though ;... (Small Ale) http://t.co/iyglRZSIgd #photo,1
Amazeballs! Classic museum piece!  #wanderlust #melbourne #australia #spring @ Melbourne Museum https://t.co/41W7BxWCF9,1
Rain sweet potato fries! Best rain everrrrrr! | Fun times | #planetuni @ The University of Melbourne https://t.co/eeNLa1HJmc,1
@BoraZ @psychepi all thats wrong in modern science publishing: an important 4 page article costs $US45. Screw that Ill write to the author,-1
Bought the City Live tickets! Not sure what to expect but should be fun. #together @MelbourneCity @NGVMelbourne,1
"@SPSSS its hard for me to listen to American Idol, because I have perfect pitch",-1
Pretty sure we've adopted @brettrosebury8 as a Melbournian by now @TimGossage #beenherefor15years,1
"PHENOMENON Opening night was a dream. Come along tonight for some pleasure viewing. 
Let these four https://t.co/Om12EwBjhg",1
docker2boot is deprecated they said. Install docker-toolkit they said. Grrr,-1
"Speech : Is the train coming from this way or that way, Cheese? 

Tummy : Don't get us lost, Cheese. https://t.co/AT6c22fB1d",1
"Goodbye Melbourne, you are unforgettable  (@ Melbourne Airport (MEL) - @melair in Tullamarine, VIC) https://t.co/Cts5rBLwLq",-1
@aussiegeek awesome. About 5 minutes away.,1
@SPSSS always here 4 u bb,1
Lighting and facilitating the magic for @bettytssd gasworksartspark @melbournefringe #tssd #funktime https://t.co/knFyCWm7GQ,1
Not too bad at all. - Drinking an American Pale Ale @ nova brewing testing facility - http://t.co/FSBaS4gv4H #photo,1
"My office this evening. Huuuuge amount of awards to get through, but it should be fun. 
#conferenceMC https://t.co/MHQs3stzUu",1
Relaxing Sunday afternoon at Port Melbourne with this babe duddingpog  #bobo #wifebo #wife https://t.co/kYqh0un61Y,1
@Mattys123 I'm not sure presume out of contract,0
"Thursday night live music and drinks. (@ Somewhere in Prahran, VIC) https://t.co/6WN9vU6bmk",1
Thanks docker-machine. I want my last two hours back.,-1
@HumanHeadline She tried to send you a birthday card and/or a letter when you were in detention but she was afraid you didnt get it.,-1
 walk to the sounds of @tobykeithmusic #happydays http://t.co/jgoLatCUVk,0
My desk at work is wherever i want ...tomorrow i might look in from the outside. #freedom #ux #uxlife https://t.co/inL6jInetU,0
@lowercaserho AS PAINFUL AS A BEE STING OHNOES,-1
So m I to assume unless ur device has 2gb of ram iOS 9 runs tremendously horrible??,-1
@stroughtonsmith @thomholwerda the worst is the music app that comes with ios9 is opted out!! The app that would be the most useful,0
@emdeem at least 100k pa overs. Can't be true it's so rediculous,-1
"WHYYYYYYYYYY????? (@ Chadstone Shopping Centre - @fashion_capital in Chadstone, VIC) https://t.co/FrvAQgtxQS",-1
@jamiemgalea I hope you got deep fried Mac n cheese,0
Recreating a scene from Thelma and Louise for Making Movies was a lot of fun.  #makingmovies #vca https://t.co/LhflXmEbdF,1
Preparations for tomorrow Part 6. #LASTconf http://t.co/QbFqVFpXn6,0
Tunes are spinning and some suburban commando on the big screen come down before the movie for some https://t.co/ZsR8Gjp5bd,0
so glad I've got the next 3 days off. Work is absolutely draining me!,1
Luke's birthday! (@ Hellenic Republic in Kew) https://t.co/32HK7zYNKm,1
Today we did a lot of #cupping simo.gi @ Genovese Coffee https://t.co/kSgXT0pd01,1
@chrisopotamia CRUSH IT. KILL IT. SLAY IT. MURDER IT.. our time is running out /muse. Ahem. YOULL BE GREAT,0
Two down and many more to go #beforeandafter @ Ilk Apartments https://t.co/CKnz7n5oOr,0
"It's better to look back on life and say:""I can't believe I did that."" than to look back and say ""I https://t.co/lY0ySvwoBq",-1
Listening to some fabulous #socialentrepreneurs at the Nexus Global Youth Summit #socent #wearenexus http://t.co/1rABRa5lE0,1
Off to play netball for the first time in 4months. In a different country. Where its their national sport. #whatwasithinking #gonnadie,1
There is a sexy black version of the new coffee cups and saucers for http://t.co/iiaY7dv0jp. #coffee https://t.co/vvJJVeVzmz,1
First time trying an espresso martini: Approved. @ Somewhere https://t.co/pDW25jcvS3,1
@wadekingsley nah mate all done for the year...time to put the feet up!,0
Straight from our recipe book... Beef &amp; Spinach Meatballs on risoni &amp; peas w sage butter sauce. On https://t.co/yNMSKMzgVX,-1
My new home is having a party... #carltonfc #bestandfairest #afllife #backseatbandits #werkperks http://t.co/P0Psxnb36h,1
"Wind 0.0 km/h ---. Barometer 1022.0 hPa, Rising. Temperature 12.7 C. Rain today 0.3 mm. Humidity 77%",0
"Movie time!  (at @Astor_Theatre in Melbourne, VIC, VIC) https://t.co/xTdBh46n19",1
Busy night. How rad are motorcycles! #kustomkommune #diy #shedlife @ The Kustom Kommune https://t.co/AQDc7oJyB5,1
Squad en pointe  #badblood #filmshoot #grouptask @ Jason Coleman's Ministry Of Dance https://t.co/0MrfTcdzs3,1
"I'm at Crown Towers in Southbank, VIC https://t.co/DFkVsZF2kI",1
Tonight we open our wallets and our hearts for the @rchmelbourne Neo-Natal unit. So many babies and https://t.co/Jc5zavrFhU,1
When confronted with one of those pished weirdos in a pub who like to chew your ear off I like to out-talk and out-crazy.,-1
Lana is going to win. He's not gonna move to Perth or make Snezana move to Melbourne. #TheBachelorAU,1
louisdurandsk8 on home turf down at #skmf looking forward to catching ya soon brother  https://t.co/WwTjT05Uf9,1
How dashing is my date tonight?!? Thanks for coming darcykeighran  #boysonthetown #rchmelbourne https://t.co/IjecKXAubT,1
"@wadekingsley thanks mate, much appreciated ",1
Legitimately surprised that Langford has been dropped. He was one of our better players last week IMO. #GoHawks,-1
Was @TheBachelorAU's budget cut considerably? No overseas trip this series at all? #TheBachelorAU,-1
It's a beer-a-palooza at Ladro TAP tonight in the private courtyard for our first ever intimate beer https://t.co/bkw15wyfLM,1
Buddy elimination final kick with 7 seconds to go favourite image that 23 on his back He is always hawthorn too me #AFL360,1
"Chef Ricky's brekkie special is a hit! Free range scrambled eggs, fresh chilli, basil, smoked cherry https://t.co/BAbFMGC2kA",1
"@SwannyQLD well he needs _something_ good and relatively uncontroversial to bolster him into treasury, even if it's not his.",-1
@phillfarrugia must be backups. Ive never actively stored something in ICloud.,0
What does 400 cables look like? #Audient ASP 8024 #saemelbourne #callingallcreators @ SAE Institute https://t.co/42rmYWo7Yg,0
@ellefae Chinese TV show wants to interview me for a part hahah,1
@phillfarrugia its late. Leave me alone. ,-1
OH at Qantas Club:  and the anti-depressive qualities of semen. Oh-kay,-1
Warm engagement of The Como Melbourne part of MGallery collection of hotels featuring Literary https://t.co/UfwBLxgdjZ,0
Welcome to Melbourne poc_yllop my cousin  first meal is @jimmygrants because it's her first time https://t.co/l9k2Julpzf,1
A sneaky look behind the scenes of the windows at flowersofcanterbury what a great use of our sea https://t.co/WwWB5ym0mS,1
An impromptu hallway dance party has broken out. http://t.co/Hb0wR6qLC8,-1
"Well, that didnt last long. http://t.co/Rva3G4w5NB",-1
Can we see Sam's dad as #SilverFoxBachie?!! @TheBachelorAU #bachelorau #bachelor2015,0
Sitting in the fireplace ready for #unmaskingprincecharming #melbfringe @ The Owl and Cat Theatre https://t.co/00XA5d6TeY,1
Finally stopping to smell the roses.. And by roses I mean foooood  https://t.co/RNr7TCLps7,1
JUST LANDED!! resindoll cats eye glasses... Just in time for Spring  @ Kitty Rose Couture https://t.co/QWwtEvrNyC,1
"Wind 0.0 km/h ---. Barometer 1022.5 hPa, Rising. Temperature 12.8 C. Rain today 0.3 mm. Humidity 77%",0
Wonderful evening at The Como Melbourne with Debra Oswald #mgalleryhotelsau #literarycollection2015 @ https://t.co/xolbhoEYaP,1
"""Friendship is born at that moment when one person says to another: What! You too? I thought I was https://t.co/ZUeRbyOHfQ",1
Goodbye Melbourne! See you next time.,-1
Being a sister means catching your baby sisters vomit in your hand to prevent her from swallowing a piece of plastic she took off her toy,0
The gorgeous @drjomitch crew enjoying a dinner to celebrate #babypsychs graduation and #newbiepsychs https://t.co/sWOepMRGCA,1
Still shedding tears over this romantic classic. @ Lambert Grove https://t.co/C1L6ba07e1,1
"244. Brouwerij Boon, Belgium - Kriek 4% two Kriekenbiers in two days #1000beers #boon @ Two Row Bar https://t.co/ApSmnsZw4v",0
"Getting there....


5 rounds (every 3minutes)
5 X 3 @ 120kg deadlift

1 more month and I should https://t.co/7rjM6A1Xm9",1
Waiting for tram.. freaking cold @ Epsom Road https://t.co/4xbINvbl9r,-1
I think the blue ties have gone.!!! ,1
"https://t.co/912WNfuVqe
@kylieminogue 
So sweet ...your cover of Endless Love back in the 80's",1
"PIG 10 WAYZ 

for 

QUAPPZ 10K

My good friend quappzburgers has just reached a milestone on https://t.co/ln4KdoAINe",1
"Home (@ Melbourne Airport (MEL) - @melair in Tullamarine, VIC) https://t.co/VjIs3ytfT0",1
@chosenwis Thank you for following me I'm following you back ,1
ok so I didnt know if it was going to happen but they actually ended up booking my flights lel,1
"""I really want to spend the rest of my life with however I end up with"" Wow. #bachelorau",1
@Jato_BZ I tend to believe that these days n all,0
@revolvercre8ive @BuzingaApps1 @starthealthtech this event has been amazing thanks 2 all involved 4 making it happen http://t.co/xi77DOPd3E,1
Anyone want it guess what this is ? #FilmNeverDie #FilmIsNotDead #believeinfilm @ Melbourne https://t.co/96tboxPeMC,0
@AshtonDev sure! Id love to know more about it ,1
"Great moving tip
Moving clothes can be very annoying especially for you ladies. Let us know when your booked in... http://t.co/yL0fFqUiR8",0
Those gloves are super creepy!!! #TheBachelorAU,-1
"Currently re-watching The Wonder Years - fuck this is a quality forgotten gem. 

Whaaaaaaat would ya doooo if I sang, outta tune.",-1
"Wind 2.5 km/h NW. Barometer 1022.5 hPa, Rising slowly. Temperature 12.7 C. Rain today 0.3 mm. Humidity 77%",0
nothing's better than a drink after a long working day! #drinks #drink #italianstyle #aperol https://t.co/O1QAt8hQ0U,1
This is heartbreaking!! You can see the pain in his eyes that he isnt choosing Snez  #TheBachelorAU,-1
Learnt a few things about Alzheimer's today. http://t.co/3p7WH5Ft2S,1
"This doesn't need a caption, really. Ate these for breakfast at @rawluvsuperfood  #Saltedcaramel https://t.co/0uvEvZ5K7s",1
"Spoiling ourselves today with #SaltedCaramel #MillionaireSlice at @rawluvsuperfood God, I love my https://t.co/JxImDXj0Ve",1
"I had to consult the reviews for my #coffeespot this afternoon, dashing between the bloodbank and the https://t.co/xdXfuv4o5H",0
Beta test night zerolatencyvr @ Zero Latency https://t.co/OLfOdwZk7b,0
YES - we're connected in twitterspace @igniteartists. Tuesday was a blast M &amp; S. Igniters together in full force #lookout #wemeanbusiness ,1
"@ChrissieSwan really??? Oh god, I feel like hes about to break her heart!!! ",-1
@ellefae of course! no way Im going to pay for flights *this* last minute hah,0
Sam will make the right choice... #OshiesHair for the win!  #TheBachelorAU,1
"Casino hehe (@ Crown Entertainment Complex - @crownmelbourne in Southbank, VIC) https://t.co/DT8Lh2ThDS",0
@Lauren_Day_Ten Bahahahaha! Thats awful!!!,1
"You know, you have to wait for the right time to listen to some albums: Now it is the time for @throttleclarks Clark. #nomelatoninneeded",1
"In Conversation with the delightful Debra Oswald, author and co-creator of Offspring https://t.co/O5FsGK2Os9",1
"@TheFeedSBS @leighsales @andy_park this is golden!!!

Andy, Id be scared!!",1
@BevanShields bang on!!! Its full on the degrees of hotness he goes through!!!!,1
@AshtonDev yep! Im at cookie with Dan.,1
"The Bachelor, soo gripping! Can barely contain my emotions!!",1
So this was me earlier today at @the_headonist collection showings and tried on this exquisite head https://t.co/1WIMyUC9vR,-1
"I'm at Brunetti in Melbourne, VIC, VIC https://t.co/oPbTIU0Gug",1
@ChrissieSwan only when youre not on the box CSwan!! ,1
This is what a gay version of #TheBachelorAU could look like!,0
"So wrong, it's so right. You'll find us here boozing and dining tomorrow night. two_wrongs 

Check https://t.co/14tOWm4pJM",0
"Wind 1.1 km/h W. Barometer 1022.9 hPa, Rising slowly. Temperature 12.6 C. Rain today 0.3 mm. Humidity 78%",0
@ChrissieSwan OMG!! You might have been right! Snez might have it in the bag!!! #TheBachelorAU,0
ILL MARRY YOU LANA,1
@BickmoreCarrie I know right!!!! Wow wow wow!!!! What a massive surprise!!!,1
I bet Eve is a shit kid,-1
@Noel_Tanner recent study finds that the highest concentration worldwide of people wearing athleisure is Coles Port Melbourne,0
"Ladies and gentleman, meet your bachelorette for Season Two! #TheBachelorAU",1
Lana could care less! You go girl @TheBachelorAU,-1
2 Peter 2:19 (NLT) -- For you are a slave to whatever controls you.,-1
Don't think it will last but good luck to them and their daughter #thebachelorAU,0
"Emerald green
Yellow sappire
Ruby red
Priceless jewels
Stare into my eyes 
Even traffic lights
Are precious 
#micropoetry",0
"@tonyarnold ohh well, I guessed there were post yow drinks.",0
Brave man. #TheBachelorAU,1
@tonyarnold nice. Just about home myself otherwise would have joined you. You around tomorrow evening?,1
@oshergunsberg is like Tatu from Fantasy Island! @TheBachelorAU,0
"Do you even seatpan, bro? #chopper #harleydavidson Sporty seat by adhdeedee @nichola66157630 https://t.co/zNBRgUZyNn",0
Sorry I actually love Snez I just feel so sad for Lana,-1
Repost from our wonderful clients @caffeecucina - enjoying a delicious #aperolspritz after a tough https://t.co/Xj70xgtQwk,1
Congrats Sam. #TheBachelorAU http://t.co/sFQeo4duHr,1
I want you to think about me every day @TheBachelorAU,0
"Home! (@ Robtown in Richmond, VIC) https://t.co/yKCJTNfYbT",1
"And now Ill just stop all the tears because of all the love. 

Oh look, SVU is on now. Good programming Ten!",1
